#4cyc(true),#4cyc(est),#4cyc(rel-err),#4cyc(l2-loss),max_deg
1.440231e+08,1.335413e+08,7.277796e-02,1.098661e+14,1045,6.775390e-01
1.440231e+08,1.301912e+08,9.603911e-02,1.913200e+14,1045,2.637100e-01
1.440231e+08,1.815822e+08,2.607855e-01,1.410687e+15,1045,3.709170e-01
1.440231e+08,2.081729e+08,4.454134e-01,4.115197e+15,1045,1.831190e-01
1.440231e+08,1.731995e+08,2.025815e-01,8.512624e+14,1045,3.155010e-01
1.440231e+08,7.931347e+07,4.493002e-01,4.187330e+15,1045,1.917110e-01
1.440231e+08,8.322793e+07,4.221208e-01,3.696047e+15,1045,1.345500e-01
1.440231e+08,1.177968e+08,1.820976e-01,6.878160e+14,1045,6.165200e-02
1.440231e+08,1.771828e+08,2.302390e-01,1.099568e+15,1045,1.231790e-01
1.440231e+08,9.867916e+07,3.148377e-01,2.056068e+15,1045,1.229290e-01
1.440231e+08,9.365980e+07,3.496888e-01,2.536457e+15,1045,6.767500e-02
1.440231e+08,1.726327e+08,1.986462e-01,8.185110e+14,1045,1.178980e-01
1.440231e+08,1.354362e+08,5.962109e-02,7.373332e+13,1045,1.270190e-01
1.440231e+08,1.770004e+08,2.289729e-01,1.087508e+15,1045,1.195720e-01
1.440231e+08,1.783035e+08,2.380207e-01,1.175150e+15,1045,6.077800e-02
1.440231e+08,1.281128e+08,1.104699e-01,2.531347e+14,1045,1.279910e-01
1.440231e+08,2.683175e+08,8.630178e-01,1.544911e+16,1045,6.193600e-02
1.440231e+08,1.104284e+08,2.332586e-01,1.128598e+15,1045,6.332500e-02
1.440231e+08,1.810617e+08,2.571716e-01,1.371861e+15,1045,1.274960e-01
1.440231e+08,1.305092e+08,9.383119e-02,1.826243e+14,1045,1.190420e-01
function,AVG(rel-err),AVG(l2-loss)
4-cycles,2.654446e-01,2.124093e+15
CalcTime,1.718769e-01
